"ArbstedKomm","Tid","sysselsatte"
"3230","2023",0
"3230","2024",1796
"3232","2000",0
"3232","2001",0
"3232","2002",0
"3232","2003",0
"3232","2004",0
"3232","2005",0
"3232","2006",0
"3232","2007",0
"3232","2008",0
"3232","2009",0
"3232","2010",0
"3232","2011",0
"3232","2012",0
"3232","2013",0
"3232","2014",0
"3232","2015",0
"3232","2016",0
"3232","2017",0
"3232","2018",0
"3232","2019",0
"3232","2020",0
"3232","2021",0
"3232","2022",0
"3232","2023",0
"3232","2024",8664
"3234","2000",0
"3234","2001",0
"3234","2002",0
"3234","2003",0
"3234","2004",0
"3234","2005",0
"3234","2006",0
"3234","2007",0
"3234","2008",0
"3234","2009",0
"3234","2010",0
"3234","2011",0
"3234","2012",0
"3234","2013",0
"3234","2014",0
"3234","2015",0
"3234","2016",0
"3234","2017",0
"3234","2018",0
"3234","2019",0
"3234","2020",0
"3234","2021",0
"3234","2022",0
"3234","2023",0
"3234","2024",2208
"3236","2000",0
"3236","2001",0
"3236","2002",0
"3236","2003",0
"3236","2004",0
"3236","2005",0
"3236","2006",0
"3236","2007",0
"3236","2008",0
"3236","2009",0
"3236","2010",0
"3236","2011",0
"3236","2012",0
"3236","2013",0
"3236","2014",0
"3236","2015",0
"3236","2016",0
"3236","2017",0
"3236","2018",0
"3236","2019",0
"3236","2020",0
"3236","2021",0
"3236","2022",0
"3236","2023",0
"3236","2024",2177
"3238","2000",0
"3238","2001",0
"3238","2002",0
"3238","2003",0
"3238","2004",0
"3238","2005",0
"3238","2006",0
"3238","2007",0
"3238","2008",0
"3238","2009",0
"3238","2010",0
"3238","2011",0
"3238","2012",0
"3238","2013",0
"3238","2014",0
"3238","2015",0
"3238","2016",0
"3238","2017",0
"3238","2018",0
"3238","2019",0
"3238","2020",0
"3238","2021",0
"3238","2022",0
"3238","2023",0
"3238","2024",4027
"3240","2000",0
"3240","2001",0
"3240","2002",0
"3240","2003",0
"3240","2004",0
"3240","2005",0
"3240","2006",0
"3240","2007",0
"3240","2008",0
"3240","2009",0
"3240","2010",0
"3240","2011",0
"3240","2012",0
"3240","2013",0
"3240","2014",0
"3240","2015",0
"3240","2016",0
"3240","2017",0
"3240","2018",0
"3240","2019",0
"3240","2020",0
"3240","2021",0
"3240","2022",0
"3240","2023",0
"3240","2024",7367
"3242","2000",0
"3242","2001",0
"3242","2002",0
"3242","2003",0
"3242","2004",0
"3242","2005",0
"3242","2006",0
"3242","2007",0
"3242","2008",0
"3242","2009",0
"3242","2010",0
"3242","2011",0
"3242","2012",0
"3242","2013",0
"3242","2014",0
"3242","2015",0
"3242","2016",0
"3242","2017",0
"3242","2018",0
"3242","2019",0
"3242","2020",0
"3242","2021",0
"3242","2022",0
"3242","2023",0
"3242","2024",973
"3001","2000",0
"3001","2001",0
"3001","2002",0
"3001","2003",0
"3001","2004",0
"3001","2005",0
"3001","2006",0
"3001","2007",0
"3001","2008",0
"3001","2009",0
"3001","2010",0
"3001","2011",0
"3001","2012",0
"3001","2013",0
"3001","2014",0
"3001","2015",0
"3001","2016",0
"3001","2017",0
"3001","2018",0
"3001","2019",0
"3001","2020",12796
"3001","2021",13124
"3001","2022",13122
"3001","2023",13123
"3001","2024",0
"3002","2000",0
"3002","2001",0
"3002","2002",0
"3002","2003",0
"3002","2004",0
"3002","2005",0
"3002","2006",0
"3002","2007",0
"3002","2008",0
"3002","2009",0
"3002","2010",0
"3002","2011",0
"3002","2012",0
"3002","2013",0
"3002","2014",0
"3002","2015",0
"3002","2016",0
"3002","2017",0
"3002","2018",0
"3002","2019",0
"3002","2020",20101
"3002","2021",20817
"3002","2022",21231
"3002","2023",21781
"3002","2024",0
"3003","2000",0
"3003","2001",0
"3003","2002",0
"3003","2003",0
"3003","2004",0
"3003","2005",0
"3003","2006",0
"3003","2007",0
"3003","2008",0
"3003","2009",0
"3003","2010",0
"3003","2011",0
"3003","2012",0
"3003","2013",0
"3003","2014",0
"3003","2015",0
"3003","2016",0
"3003","2017",0
"3003","2018",0
"3003","2019",0
"3003","2020",28243
"3003","2021",28655
"3003","2022",29080
"3003","2023",29399
"3003","2024",0
"3004","2000",0
"3004","2001",0
"3004","2002",0
"3004","2003",0
"3004","2004",0
"3004","2005",0
"3004","2006",0
"3004","2007",0
"3004","2008",0
"3004","2009",0
"3004","2010",0
"3004","2011",0
"3004","2012",0
"3004","2013",0
"3004","2014",0
"3004","2015",0
"3004","2016",0
"3004","2017",0
"3004","2018",0
"3004","2019",0
"3004","2020",32905
"3004","2021",34300
"3004","2022",34877
"3004","2023",35010
"3004","2024",0
"3005","2000",0
"3005","2001",0
"3005","2002",0
"3005","2003",0
"3005","2004",0
"3005","2005",0
"3005","2006",0
"3005","2007",0
"3005","2008",0
"3005","2009",0
"3005","2010",0
"3005","2011",0
"3005","2012",0
"3005","2013",0
"3005","2014",0
"3005","2015",0
"3005","2016",0
"3005","2017",0
"3005","2018",0
"3005","2019",0
"3005","2020",45398
"3005","2021",46248
"3005","2022",46826
"3005","2023",47148
"3005","2024",0
"3006","2000",0
"3006","2001",0
"3006","2002",0
"3006","2003",0
"3006","2004",0
"3006","2005",0
"3006","2006",0
"3006","2007",0
"3006","2008",0
"3006","2009",0
"3006","2010",0
"3006","2011",0
"3006","2012",0
"3006","2013",0
"3006","2014",0
"3006","2015",0
"3006","2016",0
"3006","2017",0
"3006","2018",0
"3006","2019",0
"3006","2020",15733
"3006","2021",16167
"3006","2022",16169
"3006","2023",16382
"3006","2024",0
"3007","2000",0
"3007","2001",0
"3007","2002",0
"3007","2003",0
"3007","2004",0
"3007","2005",0
"3007","2006",0
"3007","2007",0
"3007","2008",0
"3007","2009",0
"3007","2010",0
"3007","2011",0
"3007","2012",0
"3007","2013",0
"3007","2014",0
"3007","2015",0
"3007","2016",0
"3007","2017",0
"3007","2018",0
"3007","2019",0
"3007","2020",14185
"3007","2021",14576
"3007","2022",14851
"3007","2023",14588
"3007","2024",0
"3011","2000",0
"3011","2001",0
"3011","2002",0
"3011","2003",0
"3011","2004",0
"3011","2005",0
"3011","2006",0
"3011","2007",0
"3011","2008",0
"3011","2009",0
"3011","2010",0
"3011","2011",0
"3011","2012",0
"3011","2013",0
"3011","2014",0
"3011","2015",0
"3011","2016",0
"3011","2017",0
"3011","2018",0
"3011","2019",0
"3011","2020",1264
"3011","2021",1297
"3011","2022",1274
"3011","2023",1315
"3011","2024",0
"3012","2000",0
"3012","2001",0
"3012","2002",0
"3012","2003",0
"3012","2004",0
"3012","2005",0
"3012","2006",0
"3012","2007",0
"3012","2008",0
"3012","2009",0
"3012","2010",0
"3012","2011",0
"3012","2012",0
"3012","2013",0
"3012","2014",0
"3012","2015",0
"3012","2016",0
"3012","2017",0
"3012","2018",0
"3012","2019",0
"3012","2020",317
"3012","2021",338
"3012","2022",332
"3012","2023",327
"3012","2024",0
"3013","2000",0
"3013","2001",0
"3013","2002",0
"3013","2003",0
"3013","2004",0
"3013","2005",0
"3013","2006",0
"3013","2007",0
"3013","2008",0
"3013","2009",0
"3013","2010",0
"3013","2011",0
"3013","2012",0
"3013","2013",0
"3013","2014",0
"3013","2015",0
"3013","2016",0
"3013","2017",0
"3013","2018",0
"3013","2019",0
"3013","2020",1214
"3013","2021",1234
"3013","2022",1217
"3013","2023",1191
"3013","2024",0
"3014","2000",0
"3014","2001",0
"3014","2002",0
"3014","2003",0
"3014","2004",0
"3014","2005",0
"3014","2006",0
"3014","2007",0
"3014","2008",0
"3014","2009",0
"3014","2010",0
"3014","2011",0
"3014","2012",0
"3014","2013",0
"3014","2014",0
"3014","2015",0
"3014","2016",0
"3014","2017",0
"3014","2018",0
"3014","2019",0
"3014","2020",15532
"3014","2021",15942
"3014","2022",16183
"3014","2023",16157
"3014","2024",0
"3015","2000",0
"3015","2001",0
"3015","2002",0
"3015","2003",0
"3015","2004",0
"3015","2005",0
"3015","2006",0
"3015","2007",0
"3015","2008",0
"3015","2009",0
"3015","2010",0
"3015","2011",0
"3015","2012",0
"3015","2013",0
"3015","2014",0
"3015","2015",0
"3015","2016",0
"3015","2017",0
"3015","2018",0
"3015","2019",0
"3015","2020",954
"3015","2021",992
"3015","2022",997
"3015","2023",953
"3015","2024",0
"3016","2000",0
"3016","2001",0
"3016","2002",0
"3016","2003",0
"3016","2004",0
"3016","2005",0
"3016","2006",0
"3016","2007",0
"3016","2008",0
"3016","2009",0
"3016","2010",0
"3016","2011",0
"3016","2012",0
"3016","2013",0
"3016","2014",0
"3016","2015",0
"3016","2016",0
"3016","2017",0
"3016","2018",0
"3016","2019",0
"3016","2020",3279
"3016","2021",3277
"3016","2022",3192
"3016","2023",3181
"3016","2024",0
"3017","2000",0
"3017","2001",0
"3017","2002",0
"3017","2003",0
"3017","2004",0
"3017","2005",0
"3017","2006",0
"3017","2007",0
"3017","2008",0
"3017","2009",0
"3017","2010",0
"3017","2011",0
"3017","2012",0
"3017","2013",0
"3017","2014",0
"3017","2015",0
"3017","2016",0
"3017","2017",0
"3017","2018",0
"3017","2019",0
"3017","2020",3275
"3017","2021",3454
"3017","2022",3654
"3017","2023",3880
"3017","2024",0
"3018","2000",0
"3018","2001",0
"3018","2002",0
"3018","2003",0
"3018","2004",0
"3018","2005",0
"3018","2006",0
"3018","2007",0
"3018","2008",0
"3018","2009",0
"3018","2010",0
"3018","2011",0
"3018","2012",0
"3018","2013",0
"3018","2014",0
"3018","2015",0
"3018","2016",0
"3018","2017",0
"3018","2018",0
"3018","2019",0
"3018","2020",1461
"3018","2021",1552
"3018","2022",1542
"3018","2023",1505
"3018","2024",0
"3019","2000",0
"3019","2001",0
"3019","2002",0
"3019","2003",0
"3019","2004",0
"3019","2005",0
"3019","2006",0
"3019","2007",0
"3019","2008",0
"3019","2009",0
"3019","2010",0
"3019","2011",0
"3019","2012",0
"3019","2013",0
"3019","2014",0
"3019","2015",0
"3019","2016",0
"3019","2017",0
"3019","2018",0
"3019","2019",0
"3019","2020",8355
"3019","2021",9184
"3019","2022",9364
"3019","2023",9642
"3019","2024",0
"3020","2000",0
"3020","2001",0
"3020","2002",0
"3020","2003",0
"3020","2004",0
"3020","2005",0
"3020","2006",0
"3020","2007",0
"3020","2008",0
"3020","2009",0
"3020","2010",0
"3020","2011",0
"3020","2012",0
"3020","2013",0
"3020","2014",0
"3020","2015",0
"3020","2016",0
"3020","2017",0
"3020","2018",0
"3020","2019",0
"3020","2020",23653
"3020","2021",24992
"3020","2022",25258
"3020","2023",25116
"3020","2024",0
"3021","2000",0
"3021","2001",0
"3021","2002",0
"3021","2003",0
"3021","2004",0
"3021","2005",0
"3021","2006",0
"3021","2007",0
"3021","2008",0
"3021","2009",0
"3021","2010",0
"3021","2011",0
"3021","2012",0
"3021","2013",0
"3021","2014",0
"3021","2015",0
"3021","2016",0
"3021","2017",0
"3021","2018",0
"3021","2019",0
"3021","2020",10566
"3021","2021",11225
"3021","2022",11763
"3021","2023",11626
"3021","2024",0
"3022","2000",0
"3022","2001",0
"3022","2002",0
"3022","2003",0
"3022","2004",0
"3022","2005",0
"3022","2006",0
"3022","2007",0
"3022","2008",0
"3022","2009",0
"3022","2010",0
"3022","2011",0
"3022","2012",0
"3022","2013",0
"3022","2014",0
"3022","2015",0
"3022","2016",0
"3022","2017",0
"3022","2018",0
"3022","2019",0
"3022","2020",4478
"3022","2021",4647
"3022","2022",4688
"3022","2023",4773
"3022","2024",0
"3023","2000",0
"3023","2001",0
"3023","2002",0
"3023","2003",0
"3023","2004",0
"3023","2005",0
"3023","2006",0
"3023","2007",0
"3023","2008",0
"3023","2009",0
"3023","2010",0
"3023","2011",0
"3023","2012",0
"3023","2013",0
"3023","2014",0
"3023","2015",0
"3023","2016",0
"3023","2017",0
"3023","2018",0
"3023","2019",0
"3023","2020",5147
"3023","2021",5152
"3023","2022",5281
"3023","2023",5551
"3023","2024",0
"3024","2000",0
"3024","2001",0
"3024","2002",0
"3024","2003",0
"3024","2004",0
"3024","2005",0
"3024","2006",0
"3024","2007",0
"3024","2008",0
"3024","2009",0
"3024","2010",0
"3024","2011",0
"3024","2012",0
"3024","2013",0
"3024","2014",0
"3024","2015",0
